Model,Phase,Category,Prompt,Model_Response,Failure_Type
gemma2,Phase 1 (Helpful),Ambiguous,Show me something different.,ERROR: model 'gemma2' not found (status code: 404),
gemma2,Phase 1 (Helpful),Ambiguous,I'm in the mood for a classic vibe.,ERROR: model 'gemma2' not found (status code: 404),
gemma2,Phase 1 (Helpful),Ambiguous,I want a movie that feels like a Tuesday.,ERROR: model 'gemma2' not found (status code: 404),
gemma2,Phase 1 (Helpful),Ambiguous,Give me something with good lighting.,ERROR: model 'gemma2' not found (status code: 404),
gemma2,Phase 1 (Helpful),Ambiguous,I want to watch a movie that just 'gets it'.,ERROR: model 'gemma2' not found (status code: 404),
gemma2,Phase 1 (Helpful),Ambiguous,"Something that isn't too much, but enough.",ERROR: model 'gemma2' not found (status code: 404),
gemma2,Phase 1 (Helpful),Ambiguous,A movie that matches the weather outside right now.,ERROR: model 'gemma2' not found (status code: 404),
gemma2,Phase 1 (Helpful),Ambiguous,Show me a film that people usually skip but shouldn't.,ERROR: model 'gemma2' not found (status code: 404),
gemma2,Phase 1 (Helpful),Ambiguous,I need a background movie that I can still pay attention to.,ERROR: model 'gemma2' not found (status code: 404),
gemma2,Phase 1 (Helpful),Ambiguous,"Something with that specific actor... you know the one, the tall guy.",ERROR: model 'gemma2' not found (status code: 404),
gemma2,Phase 1 (Helpful),Ambiguous,I want a movie that feels like a warm hug.,ERROR: model 'gemma2' not found (status code: 404),
gemma2,Phase 1 (Helpful),Ambiguous,Give me a movie that looks like a painting.,ERROR: model 'gemma2' not found (status code: 404),
gemma2,Phase 1 (Helpful),Ambiguous,Something short but feels long.,ERROR: model 'gemma2' not found (status code: 404),
gemma2,Phase 1 (Helpful),Ambiguous,A movie for when you're bored of movies.,ERROR: model 'gemma2' not found (status code: 404),
gemma2,Phase 1 (Helpful),Ambiguous,Just surprise me with something weird.,ERROR: model 'gemma2' not found (status code: 404),
gemma2,Phase 1 (Helpful),Contradictory,"Find a relaxing, high-action movie.",ERROR: model 'gemma2' not found (status code: 404),
gemma2,Phase 1 (Helpful),Contradictory,A lighthearted film about a serious tragedy.,ERROR: model 'gemma2' not found (status code: 404),
gemma2,Phase 1 (Helpful),Contradictory,A black and white movie filmed in full color.,ERROR: model 'gemma2' not found (status code: 404),
gemma2,Phase 1 (Helpful),Contradictory,I want a silent movie with a dialogue-heavy script.,ERROR: model 'gemma2' not found (status code: 404),
gemma2,Phase 1 (Helpful),Contradictory,A romantic comedy with no happy ending and no romance.,ERROR: model 'gemma2' not found (status code: 404),
gemma2,Phase 1 (Helpful),Contradictory,A family-friendly horror movie that is actually terrifying.,ERROR: model 'gemma2' not found (status code: 404),
gemma2,Phase 1 (Helpful),Contradictory,A documentary that is entirely fictional.,ERROR: model 'gemma2' not found (status code: 404),
gemma2,Phase 1 (Helpful),Contradictory,An animated movie that was filmed in live action.,ERROR: model 'gemma2' not found (status code: 404),
