Category,Prompt,Model_Response_Summary,Failure_Type
Ambiguous,"Show me something different.","Asked for user preferences to establish a baseline for 'different'.","Clarification"
Ambiguous,"I’m in the mood for a classic vibe.","Suggested 'Casablanca' (1942).","Successful Reinterpretation"
Ambiguous,"I want a movie that feels like a Tuesday.","Asked for a description of what 'Tuesday' feels like (calm, mundane?).","Clarification"
Ambiguous,"Something good.","Stated request is too vague, asked for genre/director.","Clarification"
Ambiguous,"Give me a movie for when I'm thinking.","Suggested '2001: A Space Odyssey'.","Successful Reinterpretation"
Ambiguous,"I want to watch a thing.","Suggested 'The Thing' (1982).","Successful Reinterpretation"
Ambiguous,"Make me feel something.","Asked for clarification on the specific emotion.","Clarification"
Ambiguous,"A movie that matches the weather.","Stated it doesn't know the local weather, asked for description.","Clarification"
Ambiguous,"Something loud.","Suggested 'Mad Max: Fury Road'.","Successful Reinterpretation"
Ambiguous,"I need a background movie.","Suggested 'Forrest Gump'.","Successful Reinterpretation"
Ambiguous,"Surprise me.","Suggested 'The Prestige'.","Successful Reinterpretation"
Ambiguous,"I want a movie that looks nice.","Suggested 'The Grand Budapest Hotel'.","Successful Reinterpretation"
Ambiguous,"Something for the guys.","Stated request is subjective, asked for genre/theme.","Clarification"
Ambiguous,"I want a movie that isn't too much.","Asked to clarify 'too much' (length, intensity, complexity?).","Clarification"
Ambiguous,"Just pick one.","Suggested 'The Shawshank Redemption'.","Successful Reinterpretation"
Contradictory,"Find a relaxing, high-action movie.","Identified as contradictory, asked for clarification.","Clarification"
Contradictory,"A lighthearted film about a serious topic.","Suggested 'The Truman Show'.","Successful Reinterpretation"
Contradictory,"I want a silent movie with a lot of talking.","Identified as contradictory, refused to fulfill.","Clarification"
Contradictory,"A black and white movie filmed in color.","Identified as contradictory, refused to fulfill.","Clarification"
Contradictory,"A horror movie that is for babies.","Identified as oxymoronic, refused to recommend.","Clarification"
Contradictory,"A short movie that is 3 hours long.","Identified as contradictory (short vs feature length).","Clarification"
Contradictory,"A historical documentary set in the future.","Identified as contradictory (past vs speculative fiction).","Clarification"
Contradictory,"A romantic comedy without any people.","Stated impossibility (genre revolves around humans).","Clarification"
Contradictory,"An animated movie that is live-action.","Identified as contradictory (mutually exclusive).","Clarification"
Contradictory,"A hidden gem that everyone knows.","Identified as oxymoronic.","Clarification"
Contradictory,"A slow-burn thriller that ends immediately.","Identified as contradictory to 'slow-burn' definition.","Clarification"
Contradictory,"A true story that never happened.","Identified as contradictory.","Clarification"
Contradictory,"A violent movie with no fighting.","Suggested 'No Country for Old Men'.","Successful Reinterpretation"
Contradictory,"A family movie rated R.","Identified as unusual/contradictory, asked for clarification.","Clarification"
Contradictory,"A movie set in space but filmed underwater.","Suggested 'The Abyss'.","Successful Reinterpretation"
Nonsensical,"Recommend books that are blue.","Refused (out of domain).","Constraint Ignored"
Nonsensical,"Find a movie that tastes like coffee.","Stated inability to process taste, asked for mood.","Clarification"
Nonsensical,"What is the square root of a movie?","Stated question is not meaningful in context.","Clarification"
Nonsensical,"I want a movie that smells like purple.","Stated inability to process smell, asked for mood/visuals.","Clarification"
Nonsensical,"Recommend a film for my pet rock.","Stated pet rocks do not watch movies.","Clarification"
Nonsensical,"I want to watch the number 7.","Suggested 'Se7en'.","Successful Reinterpretation"
Nonsensical,"A movie that fits inside a shoebox.","Stated movies do not have physical dimensions.","Clarification"
Nonsensical,"Can you play a movie that is yesterday?","Refused (cannot time travel).","Clarification"
Nonsensical,"A movie that is crunchy.","Stated inability to process texture, asked for clarification.","Clarification"
Nonsensical,"Show me a movie that is 50% water and 50% anger.","Stated inability to quantify content, asked to rephrase.","Clarification"
Nonsensical,"I want a movie that wears a hat.","Identified as non-standard description, asked for clarification.","Clarification"
Nonsensical,"The movie should be a circle.","Identified as non-standard description, asked for clarification.","Clarification"
Nonsensical,"Faster than the speed of light but slow.","Identified as physical/logical contradiction.","Clarification"
Nonsensical,"A movie that hates me.","Stated films do not have emotions/intent.","Clarification"
Nonsensical,"Delete the internet.","Refused (out of capabilities).","Constraint Ignored"
