Category,Prompt,Model_Response_Summary,Failure_Type
Ambiguous,"Show me something different.","Suggested 'Everything Everywhere All at Once' because it is genre-bending.","Successful Reinterpretation"
Ambiguous,"I'm in the mood for a classic vibe.","Suggested 'Casablanca'.","Successful Reinterpretation"
Ambiguous,"I want a movie that feels like a Tuesday.","Suggested 'Paterson' (mundane, poetic).","Successful Reinterpretation"
Ambiguous,"Something good.","Suggested 'Shawshank Redemption' (crowd pleaser).","Confident Failure"
Ambiguous,"Give me a movie for when I'm thinking.","Suggested 'Arrival' (linguistics/time).","Successful Reinterpretation"
Ambiguous,"I want to watch a thing.","Suggested 'Grand Budapest Hotel' (quirky thing).","Confident Failure"
Ambiguous,"Make me feel something.","Suggested 'CODA' (heart-wrenching).","Successful Reinterpretation"
Ambiguous,"A movie that matches the weather.","Gave two options (Sunny vs Rainy).","Successful Reinterpretation"
Ambiguous,"Something loud.","Suggested 'Mad Max: Fury Road'.","Successful Reinterpretation"
Ambiguous,"I need a background movie.","Suggested 'Forrest Gump'.","Successful Reinterpretation"
Ambiguous,"Surprise me.","Suggested 'Sorry to Bother You'.","Successful Reinterpretation"
Ambiguous,"I want a movie that looks nice.","Suggested 'Spirited Away'.","Successful Reinterpretation"
Ambiguous,"Something for the guys.","Suggested 'Wolf of Wall Street'.","Successful Reinterpretation"
Ambiguous,"I want a movie that isn't too much.","Suggested 'Walter Mitty'.","Successful Reinterpretation"
Ambiguous,"Just pick one.","Suggested 'Back to the Future'.","Confident Failure"
Contradictory,"Find a relaxing, high-action movie.","Suggested 'John Wick' (claimed choreography is meditative).","Hallucination"
Contradictory,"A lighthearted film about a serious topic.","Suggested 'The Big Sick'.","Successful Reinterpretation"
Contradictory,"I want a silent movie with a lot of talking.","Suggested 'The Artist' or 'A Quiet Place'.","Successful Reinterpretation"
Contradictory,"A black and white movie filmed in color.","Suggested 'Sin City' (stylized color).","Successful Reinterpretation"
Contradictory,"A horror movie that is for babies.","Suggested 'Monsters Inc.'.","Successful Reinterpretation"
Contradictory,"A short movie that is 3 hours long.","Suggested 'The Godfather' (feels short).","Hallucination"
Contradictory,"A historical documentary set in the future.","Suggested 'District 9' (mockumentary).","Successful Reinterpretation"
Contradictory,"A romantic comedy without any people.","Suggested 'Wall-E'.","Successful Reinterpretation"
Contradictory,"An animated movie that is live-action.","Suggested 'Roger Rabbit'.","Successful Reinterpretation"
Contradictory,"A hidden gem that everyone knows.","Suggested 'Paddington 2' (oxymoron acknowledged).","Successful Reinterpretation"
Contradictory,"A slow-burn thriller that ends immediately.","Suggested 'No Country for Old Men'.","Successful Reinterpretation"
Contradictory,"A true story that never happened.","Suggested 'Fargo' (fake true story disclaimer).","Successful Reinterpretation"
Contradictory,"A violent movie with no fighting.","Suggested 'No Country for Old Men' (psychological violence).","Successful Reinterpretation"
Contradictory,"A family movie rated R.","Suggested 'This is 40'.","Successful Reinterpretation"
Contradictory,"A movie set in space but filmed underwater.","Suggested 'The Abyss' (filmed underwater, feels like space).","Successful Reinterpretation"
Nonsensical,"Recommend books that are blue.","Refused book request, suggested 'Shape of Water'.","Constraint Ignored"
Nonsensical,"Find a movie that tastes like coffee.","Suggested 'French Dispatch' (caffeinated vibe).","Successful Reinterpretation"
Nonsensical,"What is the square root of a movie?","Interpreted as screenplay/core concept.","Successful Reinterpretation"
Nonsensical,"I want a movie that smells like purple.","Suggested 'Purple Rain' or 'Perfume'.","Successful Reinterpretation"
Nonsensical,"Recommend a film for my pet rock.","Suggested 'Planet Earth II' (slow, nature).","Successful Reinterpretation"
Nonsensical,"I want to watch the number 7.","Suggested 'Se7en'.","Successful Reinterpretation"
Nonsensical,"A movie that fits inside a shoebox.","Suggested 'Locke' (contained setting).","Successful Reinterpretation"
Nonsensical,"Can you play a movie that is yesterday?","Suggested 'Yesterday' or 'Midnight in Paris'.","Successful Reinterpretation"
Nonsensical,"A movie that is crunchy.","Suggested 'The Batman' (sound design) or 'Jiro Dreams of Sushi'.","Successful Reinterpretation"
Nonsensical,"Show me a movie that is 50% water and 50% anger.","Suggested 'The Perfect Storm'.","Successful Reinterpretation"
Nonsensical,"I want a movie that wears a hat.","Suggested 'Indiana Jones'.","Successful Reinterpretation"
Nonsensical,"The movie should be a circle.","Suggested 'Arrival' (cyclical narrative).","Successful Reinterpretation"
Nonsensical,"Faster than the speed of light but slow.","Suggested 'Drive' (fast plot, slow style).","Successful Reinterpretation"
Nonsensical,"A movie that hates me.","Suggested 'Requiem for a Dream' (punishing).","Successful Reinterpretation"
Nonsensical,"Delete the internet.","Suggested 'Her' (digital detox theme).","Constraint Ignored"
